"Ghotuo","aaa"
"Kashinawa","cbs"
"Chayahuita","cbt"
"Candoshi-Shapra","cbu"
"Cacua","cbv"
"Kinabalian","cbw"
"Carabayo","cby"
"Cauca","cca"
"Chamicuro","ccc"
"Cafundo Creole","ccd"
"Chopi","cce"
"Samba Daka","ccg"
"Atsam","cch"
"Kasanga","ccj"
"Cutchi-Swahili","ccl"
"Malaccan Creole Malay","ccm"
"Chinantec, Comaltepec","cco"
"Chakma","ccp"
"Chaungtha","ccq"
"Cacaopera","ccr"
"Choni","cda"
"Chenchu","cde"
"Chiru","cdf"
"Chamari","cdg"
"Chambeali","cdh"
"Chodri","cdi"
"Churahi","cdj"
"Chepang","cdm"
"Chaudangsi","cdn"
"Chinese, Min Dong","cdo"
"Cinda-Regi-Tiyal","cdr"
"Chadian Sign Language","cds"
"Chadong","cdy"
"Koda","cdz"
"Chehalis, Lower","cea"
"Cebuano","ceb"
"Chamacoco","ceg"
"Cen","cen"
"Czech","ces","true"
"Centúúm","cet"
"Dijim-Bwilim","cfa"
"Cara","cfd"
"Como Karim","cfg"
"Chin, Falam","cfm"
"Changriwa","cga"
"Kagayanen","cgc"
"Chiga","cgg"
"Chocangacakha","cgk"
"Chamorro","cha","true"
"Catawba","chc"
"Chontal, Highland Oaxaca","chd"
"Chechen","che"
"Chontal, Tabasco","chf"
"Chagatai","chg"
"Chinook","chh"
"Chinantec, Ojitlán","chj"
"Chuukese","chk"
"Cahuilla","chl"
"Chinook Wawa","chn"
"Choctaw","cho"
"Dene","chp"
"Chinantec, Quiotepec","chq"
"Cherokee","chr"
"Cholón","cht"
"Slavonic, Old Church","chu","true"
"Chuvash","chv"
"Chuwabu","chw"
"Chantyal","chx"
"Cheyenne","chy"
"Chinantec, Ozumacín","chz"
"Cia-Cia","cia"
"Gbe, Ci","cib"
"Chickasaw","cic"
"Chimariko","cid"
"Cineni","cie"
"Chinali","cih"
"Kinnauri, Chitkuli","cik"
"Cimbrian","cim"
"Cinta Larga","cin"
"Chiapanec","cip"
"Tiri","cir"
"Chippewa","ciw"
"Chaima","ciy"
"Cham, Western","cja"
"Chru","cje"
"Chehalis, Upper","cjh"
"Chamalal","cji"
"Chokwe","cjk"
"Cham, Eastern","cjm"
"Chenapian","cjn"
"Ashéninka Pajonal","cjo"
"Cabécar","cjp"
"Shor","cjs"
"Chuave","cjv"
"Chinese, Jinyu","cjy"
"Chin, Khumi Awa","cka"
"Kurdish, Central","ckb"
"Chak","ckh"
"Cibak","ckl"
"Anufo","cko"
"Kajakse","ckq"
"Kairak","ckr"
"Tayo","cks"
"Chukchi","ckt"
"Koasati","cku"
"Kavalan","ckv"
"Caka","ckx"
"Cakfem-Mushere","cky"
"Kaqchikel-K'iche' Mixed Language","ckz"
"Ron","cla"
"Chilcotin","clc"
"Chaldean Neo-Aramaic","cld"
"Chinantec, Lealao","cle"
"Chilisso","clh"
"Chakali","cli"
"Idu-Mishmi","clk"
"Chala","cll"
"Clallam","clm"
"Chontal, Lowland Oaxaca","clo"
"Caluyanun","clu"
"Chulym","clw"
"Chatino, Eastern Highland","cly"
"Maa","cma"
"Cerma","cme"
"Emberá-Chamí","cmi"
"Campalagian","cml"
"Chinese, Mandarin","cmn","true"
"Mnong, Central","cmo"
"Chin, Mro","cmr"
"Camtho","cmt"
"Changthang","cna"
"Chin, Chinbon","cnb"
"Côông","cnc"
"Qiang, Northern","cng"
"Chin, Haka","cnh"
"Asháninka","cni"
"Chin, Khumi","cnk"
"Chinantec, Lalana","cnl"
"Con","cno"
"Asmat, Central","cns"
"Chinantec, Tepetotutla","cnt"
"Chenoua","cnu"
"Chin, Ngawn","cnw"
"Malay, Cocos Islands","coa"
"Chicomuceltec","cob"
"Cocopa","coc"
"Cocama-Cocamilla","cod"
"Koreguaje","coe"
"Colorado","cof"
"Chong","cog"
"Chichonyi-Chidzihana-Chikauma","coh"
"Cochimi","coj"
"Cora, Santa Teresa","cok"
"Columbia-Wenatchi","col"
"Comanche","com"
"Cofán","con"
"Comox","coo"
"Coptic","cop"
"Coquille","coq"
"Cornish","cor"
"Corsican","cos"
"Caquinte","cot"
"Wamey","cou"
"Cao Miao","cov"
"Cowlitz","cow"
"Nanti","cox"
"Coyaima","coy"
"Chocholtec","coz"
"Chinantec, Palantla","cpa"
"Ashéninka, Ucayali-Yurúa","cpb"
"Ajyíninka Apurucayali","cpc"
"Cappadocian Greek","cpg"
"Chinese Pidgin English","cpi"
"Cherepon","cpn"
"Capiznon","cps"
"Ashéninka, Pichis","cpu"
"Chinese, Pu-Xian","cpx"
"Ashéninka, South Ucayali","cpy"
"Miao, Chuanqiandian Cluster","cqd"
"Quechua, Chilean","cqu"
"Chara","cra"
"Lonwolwol","crc"
"Coeur d'Alene","crd"
"Caramanta","crf"
"Michif","crg"
"Crimean Tatar","crh"
"Sãotomense","cri"
"Cree, Southern East","crj"
"Cree, Plains","crk"
"Cree, Northern East","crl"
"Cree, Moose","crm"
"Cora, El Nayar","crn"
"Crow","cro"
"Chorote, Iyo'wujwa","crq"
"Seselwa Creole French","crs"
"Chorote, Iyojwa'ja","crt"
"Chaura","crv"
"Chrau","crw"
"Carrier","crx"
"Cori","cry"
"Cruzeño","crz"
"Chinantec, Chiltepec","csa"
"Kashubian","csb"
"Catalan Sign Language","csc"
"Chiangmai Sign Language","csd"
"Czech Sign Language","cse"
"Cuba Sign Language","csf"
"Chilean Sign Language","csg"
"Chin, Asho","csh"
"Miwok, Coast","csi"
"Jola-Kasa","csk"
"Chinese Sign Language","csl"
"Miwok, Central Sierra","csm"
"Colombian Sign Language","csn"
"Chinantec, Sochiapam","cso"
"Croatia Sign Language","csq"
"Costa Rican Sign Language","csr"
"Ohlone, Southern","css"
"Ohlone, Northern","cst"
"Cree, Swampy","csw"
"Chin, Siyin","csy"
"Coos","csz"
"Chatino, Tataltepec","cta"
"Chetco","ctc"
"Chin, Tedim","ctd"
"Chinantec, Tepinapa","cte"
"Chittagonian","ctg"
"Chinantec, Tlacoatzintepec","ctl"
"Chitimacha","ctm"
"Chhintange","ctn"
"Emberá-Catío","cto"
"Chatino, Western Highland","ctp"
"Bicolano, Northern Catanduanes","cts"
"Chetti, Wayanad","ctt"
"Chol","ctu"
"Chatino, Zacatepec","ctz"
"Cua","cua"
"Cubeo","cub"
"Chinantec, Usila","cuc"
"Cung","cug"
"Gichuka","cuh"
"Cuiba","cui"
"Mashco Piro","cuj"
"Kuna, San Blas","cuk"
"Kulina","cul"
"Cumeral","cum"
"Cumanagoto","cuo"
"Cupeño","cup"
"Cun","cuq"
"Chhulung","cur"
"Cuicatec, Teutila","cut"
"Tai Ya","cuu"
"Cuvok","cuv"
"Chukwa","cuw"
"Cuicatec, Tepeuxila","cux"
"Chug","cvg"
"Chinantec, Valle Nacional","cvn"
"Kabwa","cwa"
"Maindo","cwb"
"Cree, Woods","cwd"
"Kwere","cwe"
"Cheq Wong","cwg"
"Kuwaataay","cwt"
"Chatino, Nopala","cya"
"Cayubaba","cyb"
"Welsh","cym"
"Cuyonon","cyo"
"Chinese, Huizhou","czh"
"Chatino, Zenzontepec","czn"
"Chinese, Min Zhong","czo"
"Chin, Zotung","czt"
"Dangaléat","daa"
"Dambi","dac"
"Marik","dad"
"Duupa","dae"
"Dan","daf"
"Dagbani","dag"
"Gwahatike","dah"
"Day","dai"
"Daju, Dar Fur","daj"
"Dakota","dak"
"Dahalo","dal"
"Damakawa","dam"
"Danish","dan","true"
"Chin, Daai","dao"
"Nisi","dap"
"Maria, Dandami","daq"
"Dargwa","dar"
"Daho-Doo","das"
"Daju, Dar Sila","dau"
"Dawida","dav"
"Davawenyo","daw"
"Dayi","dax"
"Dao","daz"
"Bangi Me","dba"
"Deno","dbb"
"Dadiya","dbd"
"Dabe","dbe"
"Edopi","dbf"
"Dogon, Dogul Dom","dbg"
"Doka","dbi"
"Ida'an","dbj"
"Dyirbal","dbl"
"Duguri","dbm"
"Duriankere","dbn"
"Dulbu","dbo"
"Duwai","dbp"
"Daba","dbq"
"Dabarre","dbr"
"Dogon, Bondum Dom","dbu"
"Dungu","dbv"
"Dibiyaso","dby"
"Deccan","dcc"
"Negerhollands","dcr"
"Dongotono","ddd"
"Doondo","dde"
"Fataluku","ddg"
"Goodenough, West","ddi"
"Jaru","ddj"
"Dendi","ddn"
"Dido","ddo"
"Dogon, Donno So","dds"
"Dawera-Daweloor","ddw"
"Dagik","dec"
"Dedua","ded"
"Dewoin","dee"
"Dezfuli","def"
"Degema","deg"
"Dehwari","deh"
"Demisa","dei"
"Dek","dek"
"Dem","dem"
"Delaware, Pidgin","dep"
"Dendi","deq"
"Deori","der"
"Desano","des"
"German, Standard","deu","true"
"Domung","dev"
"Dengese","dez"
"Dagaare, Southern","dga"
"Dogon, Bunoge","dgb"
"Agta, Casiguran Dumagat","dgc"
"Dagaari Dioula","dgd"
"Degenan","dge"
"Doga","dgg"
"Dghwede","dgh"
"Dagara, Northern","dgi"
"Dagba","dgk"
"Dagoman","dgn"
"Dogri","dgo"
"Dogrib","dgr"
"Dogoso","dgs"
"Degaru","dgu"
"Doghoro","dgx"
"Daga","dgz"
"Dhanwar","dha"
"Dhundari","dhd"
"Dhangu","dhg"
"Dhimal","dhi"
"Dhalandji","dhl"
"Zemba","dhm"
"Dhanki","dhn"
"Dhodia","dho"
"Dhargari","dhr"
"Dhaiso","dhs"
"Dhurga","dhu"
"Dehu","dhv"
"Dhanwar","dhw"
"Dia","dia"
"Dinka, South Central","dib"
"Dida, Lakota","dic"
"Didinga","did"
"Dieri","dif"
"Chidigo","dig"
"Kumiai","dih"
"Dimbong","dii"
"Dai","dij"
"Dinka, Southwestern","dik"
"Dilling","dil"
"Dime","dim"
"Dibo","dio"
"Dinka, Northeastern","dip"
"Dimli","diq"
"Dirim","dir"
"Dimasa","dis"
"Dirari","dit"
"Diriku","diu"
"Maldivian","div"
"Dinka, Northwestern","diw"
"Dixon Reef","dix"
"Diuwe","diy"
"Ding","diz"
"Djinba","djb"
"Daju, Dar Daju","djc"
"Djamindjung","djd"
"Zarma","dje"
"Djangun","djf"
"Djinang","dji"
"Djeebbana","djj"
"Eastern Maroon Creole","djk"
"Djiwarli","djl"
"Dogon, Jamsay","djm"
"Djauan","djn"
"Jangkang","djo"
"Djambarrpuyngu","djr"
"Kapriman","dju"
"Djawi","djw"
"Dakpakha","dka"
"Dakka","dkk"
"Dogon, Kolum So","dkl"
"Kuijau","dkr"
"Dinka, Southeastern","dks"
"Mazagway","dkx"
"Dolgan","dlg"
"Darlong","dln"
"Duma","dma"
"Dimir","dmc"
"Dugwor","dme"
"Kinabatangan, Upper","dmg"
"Domaaki","dmk"
"Dameli","dml"
"Dama","dmm"
"Kemezung","dmo"
"Damar, East","dmr"
"Dampelas","dms"
"Tebi","dmu"
"Dumpas","dmv"
"Dema","dmx"
"Sowari","dmy"
"Dani, Upper Grand Valley","dna"
"Daonda","dnd"
"Ndendeule","dne"
"Dungan","dng"
"Dani, Lower Grand Valley","dni"
"Dengka","dnk"
"Dzùùngoo","dnn"
"Danaru","dnr"
"Dani, Mid Grand Valley","dnt"
"Danau","dnu"
"Dani, Western","dnw"
"Dení","dny"
"Dom","doa"
"Dobu","dob"
"Dong, Northern","doc"
"Doe","doe"
"Domu","dof"
"Dong","doh"
"Dondo","dok"
"Doso","dol"
"Toura","don"
"Dongo","doo"
"Lukpa","dop"
"Dominican Sign Language","doq"
"Dori'o","dor"
"Dogosé","dos"
"Dass","dot"
"Dombe","dov"
"Doyayo","dow"
"Bussa","dox"
"Dompo","doy"
"Dorze","doz"
"Papar","dpp"
"Dair","drb"
"Darmiya","drd"
"Dolpo","dre"
"Rungus","drg"
"C'lela","dri"
"Darling","drl"
"Damar, West","drn"
"Melanau, Daro-Matu","dro"
"Dura","drq"
"Dororo","drr"
"Gedeo","drs"
"Drents","drt"
"Rukai","dru"
"Darai","dry"
"Sorbian, Lower","dsb"
"Sign Language of the Netherlands","dse"
"Daasanach","dsh"
"Disa","dsi"
"Danish Sign Language","dsl"
"Dusner","dsn"
"Desiya","dso"
"Tadaksahak","dsq"
"Daur","dta"
"Kadazan, Labuk-Kinabatangan","dtb"
"Dogon, Ana Tinga","dti"
"Dogon, Tene Kan","dtk"
"Dogon, Tomo Kan","dtm"
"Dusun, Central","dtp"
"Lotud","dtr"
"Dogon, Toro So","dts"
"Dogon, Toro Tegu","dtt"
"Dogon, Tebul Ure","dtu"
"Duala","dua"
"Dubli","dub"
"Duna","duc"
"Hun-Saare","dud"
"Agta, Umiray Dumaget","due"
"Dumbea","duf"
"Chiduruma","dug"
"Dungra Bhil","duh"
"Dumun","dui"
"Dhuwal","duj"
"Duduela","duk"
"Agta, Alabat Island","dul"
"Dusun Deyah","dun"
"Agta, Dupaninan","duo"
"Duano","dup"
"Dusun Malang","duq"
"Dii","dur"
"Dumi","dus"
"Drung","duu"
"Duvle","duv"
"Dusun Witu","duw"
"Duungooma","dux"
"Agta, Dicamay","duy"
"Duli","duz"
"Duau","dva"
"Diri","dwa"
"Dogon, Walo Kumbe","dwl"
"Dawro","dwr"
"Dawawa","dww"
"Dyan","dya"
"Dyaberdyaber","dyb"
"Dyugun","dyd"
"Agta, Villa Viciosa","dyg"
"Senoufo, Djimini","dyi"
"Dogon, Yanda Dom","dym"
"Dyangadi","dyn"
"Jola-Fonyi","dyo"
"Jula","dyu"
"Dyaabugay","dyy"
"Tunzuii","dza"
"Daza","dzd"
"Dazaga","dzg"
"Dzalakha","dzl"
"Dzando","dzn"
"Dzongkha","dzo"
"Ebughu","ebg"
"Bontok, Eastern","ebk"
"Teke-Eboo","ebo"
"Ebrié","ebr"
"Kiembu","ebu"
"Ecuadorian Sign Language","ecs"
"E","eee"
"Efai","efa"
"Efe","efe"
"Efik","efi"
"Ega","ega"
"Emilian","egl"
"Eggon","ego"
"Ehueun","ehu"
"Eipomek","eip"
"Eitiep","eit"
"Askopan","eiv"
"Jola-Felupe","eja"
"Ekajuk","eka"
"Ekit","eke"
"Ekari","ekg"
"Eki","eki"
"Estonian, Standard","ekk"
"Kol","ekl"
"Elip","ekm"
"Koti","eko"
"Ekpeye","ekp"
"Yace","ekr"
"Kayah, Eastern","eky"
"Elepi","ele"
"El Hugeirat","elh"
"Nding","eli"
"Elkei","elk"
"Greek","ell","true"
"Eleme","elm"
"El Molo","elo"
"Elpaputih","elp"
"Elu","elu"
"Emai-Iuleha-Ora","ema"
"Embaloh","emb"
"Emerillon","eme"
"Meohang, Eastern","emg"
"Mussau-Emira","emi"
"Maninkakan, Eastern","emk"
"Eman","emn"
"Emok","emo"
"Emberá, Northern","emp"
"Yupik, Pacific Gulf","ems"
"Muria, Eastern","emu"
"Emplawas","emw"
"Erromintxela","emx"
"Apali","ena","true"
"Markweeta","enb"
"En","enc"
"Ende","end"
"Enets, Forest","enf"
"English","eng","true"
"Enets, Tundra","enh"
"Engenni","enn"
"Enggano","eno"
"Enga","enq"
"Emem","enr"
"Enu","enu"
"Enwan","env"
"Enwan","enw"
"Beti","eot"
"Epie","epi"
"Esperanto","epo","true"
"Eravallan","era"
"Sie","erg"
"Eruwa","erh"
"Ogea","eri"
"Efate, South","erk"
"Horpa","ero"
"Erre","err"
"Ersu","ers"
"Eritai","ert"
"Erokwanas","erw"
"Ese Ejja","ese"
"Eshtehardi","esh"
"Inupiatun, North Alaskan","esi"
"Inupiatun, Northwest Alaska","esk"
"Egypt Sign Language","esl"
"Salvadoran Sign Language","esn"
"Estonian Sign Language","eso"
"Esselen","esq"
"Yupik, Central Siberian","ess"
"Yupik, Central","esu"
"Etebi","etb"
"Ethiopian Sign Language","eth"
"Eton","etn"
"Eton","eto"
"Edolo","etr"
"Yekhee","ets"
"Ejagham","etu"
"Eten","etx"
"Semimi","etz"
"Basque","eus","true"
"Even","eve"
"Uvbie","evh"
"Evenki","evn"
"Éwé","ewe"
"Ewondo","ewo"
"Extremaduran","ext"
"Eyak","eya"
"Keiyo","eyo"
"Uzekwe","eze"
"Fasu","faa"
"Fa D'ambu","fab"
"Wagi","fad"
"Fagani","faf"
"Finongan","fag"
"Fali of Baissa","fah"
"Faiwol","fai"
"Faita","faj"
"Fang","fak"
"Fali, South","fal"
"Fam","fam"
"Fang","fan"
"Faroese","fao","true"
"Palor","fap"
"Fataleka","far"
"Fayu","fau"
"Fala","fax"
"Fars, Southwestern","fay"
"Fars, Northwestern","faz"
"Bikol, West Albay","fbl"
"Quebec Sign Language","fcs"
"Feroge","fer"
"Foia Foia","ffi"
"Fulfulde, Maasina","ffm"
"Fongoro","fgr"
"Nobiin","fia"
"Fyer","fie"
"Fijian","fij"
"Filipino","fil"
"Finnish","fin","true"
"Fipa","fip"
"Firan","fir"
"Finnish, Tornedalen","fit"
"Fiwaga","fiw"
"Finnish, Kven","fkv"
"Kalispel-Pend D'oreille","fla"
"Foau","flh"
"Fali","fli"
"Fali, North","fll"
"Flinders Island","fln"
"Fuliiru","flr"
"Tsotsitaal","fly"
"Fe'fe'","fmp"
"Muria, Far Western","fmu"
"Fanagalo","fng"
"Fania","fni"
"Foodo","fod"
"Foi","foi"
"Foma","fom"
"Fon","fon"
"Fore","for"
"Siraya","fos"
"Fernando Po Creole English","fpe"
"Fas","fqs"
"French","fra","true"
"French, Cajun","frc"
"Fordata","frd"
"Frankish","frk"
"Arpitan","frp"
"Forak","frq"
"Frisian, Northern","frr"
"Frisian, Eastern","frs"
"Fortsenal","frt"
"Frisian, Western","fry","true"
"Finnish Sign Language","fse"
"French Sign Language","fsl"
"Finland-Swedish Sign Language","fss"
"Fulfulde, Adamawa","fub"
"Pulaar","fuc"
"Futuna, East","fud"
"Fulfulde, Borgu","fue"
"Pular","fuf"
"Fulfulde, Western Niger","fuh"
"Fulfulde, Bagirmi","fui"
"Ko","fuj"
"Fum","fum"
"Iatê","fun"
"Fulfulde, Central-Eastern Niger","fuq"
"Friulian","fur"
"Futuna-Aniwa","fut"
"Furu","fuu"
"Fulfulde, Nigerian","fuv"
"Fuyug","fuy"
"Fur","fvr"
"Fwâi","fwa"
"Fwe","fwe"
"Ga","gaa"
"Gabri","gab"
"Mixed Great Andamanese","gac"
"Gaddang","gad","true"
"Guarequena","gae"
"Gende","gaf"
"Gagauz","gag"
"Alekano","gah"
"Mbore","gai"
"Gadsup","gaj"
"Gamkonora","gak"
"Galoli","gal"
"Kandawo","gam"
"Chinese, Gan","gan"
"Gants","gao"
"Gal","gap"
"Gata'","gaq"
"Galeya","gar"
"Garasia, Adiwasi","gas","true"
"Kenati","gat"
"Gadaba, Mudhili","gau"
"Nobonob","gaw"
"Oromo, Borana-Arsi-Guji","gax"
"Gayo","gay"
"Oromo, West Central","gaz"
"Kaytetye","gbb"
"Garawa","gbc"
"Karadjeri","gbd"
"Niksek","gbe"
"Gaikundi","gbf"
"Gbanziri","gbg"
"Gbe, Defi","gbh"
"Galela","gbi"
"Gadaba, Bodo","gbj"
"Gaddi","gbk"
"Gamit","gbl"
"Garhwali","gbm"
"Mo'da","gbn"
"Grebo, Northern","gbo"
"Gbaya-Bossangoa","gbp"
"Gbaya-Bozoum","gbq"
"Gbagyi","gbr"
"Gbe, Gbesi","gbs"
"Gagadu","gbu"
"Gbanu","gbv"
"Gbe, Eastern Xwla","gbx"
"Gbari","gby"
"Dari, Zoroastrian","gbz"
"Mali","gcc"
"Ganggalida","gcd"
"Galice","gce"
"Guadeloupean Creole French","gcf"
"Grenadian Creole English","gcl"
"Gaina","gcn"
"Guianese Creole French","gcr"
"German, Colonia Tovar","gct"
"Lohar, Gade","gda"
"Gadaba, Pottangi Ollar","gdb"
"Gugu Badhun","gdc"
"Gedaged","gdd"
"Gude","gde"
"Guduf-Gava","gdf"
"Ga'dang","gdg"
"Gadjerawang","gdh"
"Gundi","gdi"
"Gurdjar","gdj"
"Gadang","gdk"
"Dirasha","gdl"
"Laal","gdm"
"Umanakaina","gdn"
"Ghodoberi","gdo"
"Mehri","gdq"
"Wipi","gdr"
"Gudu","gdu"
"Godwari","gdx"
"Geruma","gea"
"Kire","geb"
"Grebo, Gboloo","gec"
"Gade","ged"
"Gengle","geg"
"Hutterisch","geh"
"Gebe","gei"
"Gen","gej"
"Yiwom","gek"
"Kag-Fer-Jiir-Koor-Ror-Us-Zuksun","gel"
"Geme","geq"
"Geser-Gorom","ges"
"Gera","gew"
"Garre","gex"
"Enya","gey"
"Geez","gez"
"Patpatar","gfk"
"Gao","gga"
"Gbii","ggb"
"Gugadj","ggd"
"Guragone","gge"
"Gurgula","ggg"
"Kungarakany","ggk"
"Ganglau","ggl"
"Gurung, Eastern","ggn"
"Gondi, Southern","ggo"
"Aghu Tharnggalu","ggr"
"Gitua","ggt"
"Gagu","ggu"
"Gogodala","ggw"
"Ghadamès","gha"
"Gaelic, Hiberno-Scottish","ghc"
"Ghale, Southern","ghe"
"Ghale, Northern","ghh"
"Karen, Geko","ghk"
"Ghulfan","ghl"
"Ghanongga","ghn"
"Ghomara","gho","true"
"Ghera","ghr"
"Guhu-Samane","ghs"
"Ghale, Kutang","ght"
"Kitja","gia"
"Gibanawa","gib"
"Gail","gic"
"Gidar","gid"
"Goaria","gig"
"Kiribati","gil"
"Gimi","gim"
"Hinukh","gin"
"Gelao","gio"
"Gimi","gip"
"Gelao, Green","giq"
"Gelao, Red","gir"
"Giziga, North","gis"
"Gitxsan","git"
"Gelao, White","giw"
"Gilima","gix"
"Giyug","giy"
"Giziga, South","giz"
"Geji","gji"
"Koli, Kachi","gjk"
"Gonja","gjn"
"Gujari","gju"
"Guya","gka"
"Ndai","gke"
"Gokana","gkn"
"Kpelle, Guinea","gkp"
"Gaelic, Scottish","gla"
"Bon Gula","glc"
"Nanai","gld"
"Irish","gle","true"
"Galician","glg","true"
"Pashayi, Northwest","glh"
"Guliguli","gli"
"Gula Iro","glj"
"Gilaki","glk"
"Galambu","glo"
"Glaro-Twabo","glr"
"Gula","glu"
"Manx","glv"
"Glavda","glw"
"Gule","gly"
"Gambera","gma"
"Gula'alaa","gmb"
"Mághdì","gmd"
"Gbaya-Mbodomo","gmm"
"Gimnime","gmn"
"Gumalu","gmu"
"Gamo","gmv"
"Magoma","gmx"
"Kaansa","gna"
"Gangte","gnb"
"Zulgo-Gemzek","gnd"
"Ganang","gne"
"Ngangam","gng"
"Lere","gnh"
"Gooniyandi","gni"
"||Gana","gnk"
"Gangulu","gnl"
"Ginuman","gnm"
"Gumatj","gnn"
"Gondi, Northern","gno"
"Gana","gnq"
"Gureng Gureng","gnr"
"Guntai","gnt"
"Gnau","gnu"
"Guaraní, Western Bolivian","gnw"
"Ganzi","gnz"
"Guro","goa"
"Playero","gob"
"Gorakor","goc"
"Godié","god"
"Gongduk","goe"
"Gofa","gof"
"Gogo","gog"
"Gobasi","goi"
"Gowlan","goj"
"Gowli","gok"
"Gola","gol"
"Konkani, Goan","gom"
"Gone Dau","goo"
"Yeretuar","gop"
"Gorap","goq"
"Gorontalo","gor"
"Gronings","gos"
"Gavar","gou"
"Gorowa","gow"
"Gobu","gox"
"Goundo","goy"
"Gozarkhani","goz"
"Gupa-Abawa","gpa"
"Taiap","gpn"
"Ga'anda","gqa"
"Guiqiong","gqi"
"Guana","gqn"
"Gor","gqr"
"Garasia, Rajput","gra"
"Greek, Ancient","grc"
"Guruntum-Mbaaru","grd"
"Madi","grg"
"Gbiri-Niragu","grh"
"Ghari","gri"
"Grebo, Southern","grj"
"Kota Marudu Talantang","grm"
"Groma","gro"
"Gorovu","grq"
"Taznatit","grr"
"Gresi","grs"
"Garo","grt"
"Kistane","gru"
"Grebo, Central","grv"
"Gweda","grw"
"Guriaso","grx"
"Grebo, Barclayville","gry"
"Ghanaian Sign Language","gse"
"German Sign Language","gsg"
"Gusilay","gsl"
"Guatemalan Sign Language","gsm"
"Gusan","gsn"
"Gbaya, Southwest","gso"
"Wasembo","gsp"
"Greek Sign Language","gss"
"German, Swiss","gsw"
"Guató","gta"
"Gbati-ri","gti"
"Shiki","gua"
"Guajajára","gub"
"Wayuu","guc"
"Dida, Yocoboué","gud"
"Gurinji","gue"
"Gupapuyngu","guf"
"Guaraní, Paraguayan","gug","true"
"Guahibo","guh"
"Guaraní, Eastern Bolivian","gui"
"Gujarati","guj"
"Gumuz","guk"
"Sea Island Creole English","gul"
"Guambiano","gum"
"Guaraní, Mbyá","gun"
"Guayabero","guo"
"Gunwinggu","gup"
"Aché","guq"
"Farefare","gur"
"Guinean Sign Language","gus"
"Maléku Jaíka","gut"
"Yanomamö","guu"
"Gey","guv"
"Gun","guw"
"Gourmanchéma","gux"
"Ekegusii","guz"
"Guana","gva"
"Guanano","gvc"
"Duwet","gve"
"Golin","gvf"
"Guajá","gvj"
"Gulay","gvl"
"Gurmana","gvm"
"Kuku-Yalanji","gvn"
"Gavião do Jiparaná","gvo"
"Gavião, Pará","gvp"
"Gurung, Western","gvr"
"Gumawana","gvs"
"Guyani","gvy"
"Mbato","gwa"
"Gwa","gwb"
"Kalami","gwc"
"Gawwada","gwd"
"Gweno","gwe"
"Gowro","gwf"
"Moo","gwg"
"Gwich'in","gwi"
"|Gwi","gwj"
"Gwandara","gwn"
"Gwere","gwr"
"Gawar-Bati","gwt"
"Guwamu","gwu"
"Kwini","gww"
"Gua","gwx"
"Wè Southern","gxx"
"Gbaya, Northwest","gya"
"Garus","gyb"
"Kayardild","gyd"
"Gyem","gye"
"Gungabula","gyf"
"Gbayi","gyg"
"Gyele","gyi"
"Gayil","gyl"
"Ngäbere","gym"
"Guyanese Creole English","gyn"
"Guarayu","gyr"
"Gunya","gyy"
"Ganza","gza"
"Gazi","gzi"
"Gane","gzn"
"Han","haa"
"Hanoi Sign Language","hab"
"Gurani","hac"
"Hatam","had"
"Oromo, Eastern","hae"
"Haiphong Sign Language","haf"
"Hanga","hag"
"Hahon","hah"
"Hajong","haj"
"Chinese, Hakka","hak"
"Halang","hal"
"Hewa","ham"
"Hangaza","han"
"Hakö","hao"
"Hupla","hap"
"Ha","haq"
"Harari","har"
"Haisla","has"
"Haitian","hat"
"Hausa","hau"
"Havu","hav"
"Hawaiian","haw"
"Haida, Southern","hax"
"Haya","hay"
"Hazaragi","haz"
"Hamba","hba"
"Huba","hbb"
"Heiban","hbn"
"Hebrew, Ancient","hbo"
"Habun","hbu"
"Andaman Creole Hindi","hca"
"Huichol","hch"
"Haida, Northern","hdn"
"Honduras Sign Language","hds"
"Hadiyya","hdy"
"Miao, Northern Qiandong","hea"
"Hebrew","heb","true"
"Herdé","hed"
"Helong","heg"
"Hehe","heh"
"Heiltsuk","hei"
"Hemba","hem"
"Herero","her"
"Hai||om","hgm"
"Haigwai","hgw"
"Hoia Hoia","hhi"
"Kerak","hhr"
"Hoyahoya","hhy"
"Lamang","hia"
"Hibito","hib"
"Hidatsa","hid"
"Hindi, Fiji","hif"
"Kamwe","hig"
"Pamosu","hih"
"Hinduri","hii"
"Hijuk","hij"
"Seit-Kaitetu","hik"
"Hiligaynon","hil"
"Hindi","hin","true"
"Tsoa","hio"
"Himarimã","hir"
"Hiw","hiw"
"Hixkaryána","hix"
"Haji","hji"
"Kahe","hka"
"Hunde","hke"
"Hunjara-Kaina Ke","hkk"
"Hong Kong Sign Language","hks"
"Halia","hla"
"Halbi","hlb"
"Halang Doan","hld"
"Hlersu","hle"
"Nga La","hlt"
"Miao, Southern Mashan","hma"
"Songhay","hmb"
"Miao, Central Huishui","hmc"
"Miao, Large Flowery","hmd"
"Miao, Eastern Huishui","hme"
"Hmong Don","hmf"
"Miao, Southwestern Guiyang","hmg"
"Miao, Southwestern Huishui","hmh"
"Miao, Northern Huishui","hmi"
"Ge","hmj"
"Miao, Luopohe","hml"
"Miao, Central Mashan","hmm"
"Motu, Hiri","hmo"
"Miao, Northern Mashan","hmp"
